ID,Category
516,Artificial Intelligence / Machine Learning
517,Artificial Intelligence / Machine Learning
518,Data Science
519,Artificial Intelligence / Machine Learning
520,Artificial Intelligence / Machine Learning
521,Data Science
522,Artificial Intelligence / Machine Learning
523,Artificial Intelligence / Machine Learning
524,Data Science
525,Artificial Intelligence / Machine Learning
526,Artificial Intelligence / Machine Learning
527,Web Development
528,Web Development
529,Data Science
530,General IT Support
531,Data Science
532,Artificial Intelligence / Machine Learning
533,Data Science
534,Artificial Intelligence / Machine Learning
535,DevOps
536,Data Science
537,Artificial Intelligence / Machine Learning
538,Artificial Intelligence / Machine Learning
539,Artificial Intelligence / Machine Learning
540,Artificial Intelligence / Machine Learning
541,Artificial Intelligence / Machine Learning
542,Artificial Intelligence / Machine Learning
543,Data Science
544,Artificial Intelligence / Machine Learning
545,Artificial Intelligence / Machine Learning
546,Artificial Intelligence / Machine Learning
547,Cyber Security
548,Data Science
549,Web Development
550,General IT Support
551,Data Science
552,Web Development
553,Artificial Intelligence / Machine Learning
554,Data Science
555,Data Science
556,Artificial Intelligence / Machine Learning
557,Web Development
558,Data Science
559,Data Science
560,Web Development
561,Artificial Intelligence / Machine Learning
562,Artificial Intelligence / Machine Learning
563,Artificial Intelligence / Machine Learning
564,Artificial Intelligence / Machine Learning
565,Artificial Intelligence / Machine Learning
566,Artificial Intelligence / Machine Learning
567,Artificial Intelligence / Machine Learning
568,Artificial Intelligence / Machine Learning
569,Artificial Intelligence / Machine Learning
570,Artificial Intelligence / Machine Learning
571,Data Science
572,Artificial Intelligence / Machine Learning
573,Artificial Intelligence / Machine Learning
574,DevOps
575,Artificial Intelligence / Machine Learning
576,Data Science
577,Artificial Intelligence / Machine Learning
578,Web Development
579,Web Development
580,Artificial Intelligence / Machine Learning
581,Web Development
582,Artificial Intelligence / Machine Learning
583,Artificial Intelligence / Machine Learning
584,Artificial Intelligence / Machine Learning
585,Artificial Intelligence / Machine Learning
586,Artificial Intelligence / Machine Learning
587,Artificial Intelligence / Machine Learning
588,Data Science
589,Web Development
590,Artificial Intelligence / Machine Learning
591,Web Development
592,Web Development
593,Artificial Intelligence / Machine Learning
594,Cyber Security
595,Web Development
596,Artificial Intelligence / Machine Learning
597,Database Management
598,Data Science
599,Data Science
600,IT Support / System Setup
601,Data Science
602,Data Science
603,Artificial Intelligence / Machine Learning
604,Data Science
605,Artificial Intelligence / Machine Learning
606,Artificial Intelligence / Machine Learning
607,Artificial Intelligence / Machine Learning
608,Office Automation / Excel Tools
609,Artificial Intelligence / Machine Learning
610,Web Development
611,Artificial Intelligence / Machine Learning
612,Database Management
613,Artificial Intelligence / Machine Learning
614,Data Science
615,Artificial Intelligence / Machine Learning
616,Artificial Intelligence / Machine Learning
617,Data Science
618,Artificial Intelligence / Machine Learning
619,Mobile Development
620,Web Development
621,Web Development
622,Business Intelligence / Reporting
623,Artificial Intelligence / Machine Learning
624,Data Science
625,Data Science
626,Artificial Intelligence / Machine Learning
627,Artificial Intelligence / Machine Learning
628,Data Science
629,Web Development
630,General IT Support
631,Web Development
632,Artificial Intelligence / Machine Learning
633,Artificial Intelligence / Machine Learning
634,Artificial Intelligence / Machine Learning
635,Data Science
636,Artificial Intelligence / Machine Learning
637,Artificial Intelligence / Machine Learning
638,Cyber Security
639,Artificial Intelligence / Machine Learning
640,Artificial Intelligence / Machine Learning
641,Cyber Security
642,Artificial Intelligence / Machine Learning
643,Artificial Intelligence / Machine Learning
644,Database Management
645,Database Management
646,General IT Support
647,Data Science
648,Artificial Intelligence / Machine Learning
649,Database Management
650,Artificial Intelligence / Machine Learning
651,Software Engineering
652,Web Development
653,Artificial Intelligence / Machine Learning
654,Web Development
655,Artificial Intelligence / Machine Learning
656,Web Development
657,Artificial Intelligence / Machine Learning
658,Artificial Intelligence / Machine Learning
659,Software Engineering
660,Web Development
661,General IT Support
662,Artificial Intelligence / Machine Learning
663,Artificial Intelligence / Machine Learning
664,Artificial Intelligence / Machine Learning
665,Artificial Intelligence / Machine Learning
666,Artificial Intelligence / Machine Learning
667,Data Science
668,Artificial Intelligence / Machine Learning
669,Web Development
670,Web Development
671,Data Science
672,Artificial Intelligence / Machine Learning
673,Data Science
674,Artificial Intelligence / Machine Learning
675,Web Development
676,General IT Support
677,Cyber Security
678,Web Development
679,General IT Support
680,Data Science
681,Data Science
682,Artificial Intelligence / Machine Learning
683,Web Development
684,Web Development
685,Data Science
686,Web Development
687,Web Development
688,Artificial Intelligence / Machine Learning
